# list of object assets to load in this scene
[ASSETS]
mario.txt
brick.txt
coin.txt
goomba.txt
cloud.txt
[TILE_MAP_DATA]
scene\Map1.1\Scene1.1.txt
#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas
# See OBJECT_TYPE constants in AssetIDs.h

# MARIO
0	20	300

# BRICKS
#1	0	148
#1	0	164
#
#1	0	180
#1	16	180
#1	32	180
#1	48	180
#1	64	180
#1	80	180
#1	96	180
#1	112	180
#1	128	180
#1	144	180
#1	160	180
#1	176	180
#1	192	180
#1	208	180
#1	224	180
#1	240	180
#1	256	180
#1	272	180
#1	288	180
#1	304	180
#1	320	180
#1	336	180
#1	352	180
#
#1	352	148
#1	352	164

#COIN
4	100	120
4	120	120
4	140	120
4	160	120
4	180	120

#Goomba
2	300	10

#Platform
5	90	136	16	15	16	51000	52000	53000
5	120	90	16	16	8	20001	20001	20001
#CAMERA
#type x	y	ani_set_id	w	h
60	0	240	1	176	208
#60	1968	464	0	176	208	1
#MAP CAMERA
#type x	y	ani_set_id	w	h 
61	0	0	1	2816	432
#60	1968	464	0	512	192	1	0
#Portal 
50	300	110	316	140	2
#======----- GROUND------========== 
#type   x	y	andi	width	height	state
6	0	0	2816	1	0
6	-1	0	1	432	0
6	2817	0	1	432	0
6	0	416	624	16	0
6	240	368	48	1	1
6	272	336	48	1	1
6	352	368	31.5	48	0
6	400	368	80	1	1
6	464	336	64	1	1
6	512	384	95.5	1	1
6	512	304	64	1	1
6	624	400	464	16	0
6	1312	144	64	1	1
6	1408	192	64	16	1
6	1152	416	352	16	0
6	1264	384	112	1	1
6	1296	352	110	1	1
6	1328	320	110	1	1
6	1488	176	208	16	1
6	1504	336	32	16	0
6	1536	416	80	11	0
6	1568	400	48	16	0
6	1584	384	32	16	0
6	1600	368	16	16	0
6	1664	368	16	16	0
6	1664	384	32	16	0
6	1664	400	48	16	0
6	1664	416	575	11	0
6	1792	384	32	32	0
6	1856	368	32	48	0
6	2144	368	48	1	1
6	2176	272	48	1	1
6	2256	112	32	208	0
6	2320	384	32	32	0
6	2256	416	560	16	0
6	2256	368	32	48	0
6	2095	464	1	160	0
6	2352	464	1	64	0
6	2096	464	32	32	0
6	2128	479	192	1	0
6	2320	464	32	32	0
6	2096	624	128	1	0
6	2304	528	48	16	0
6	2256	576	16	16	0
6	2288	544	16	16	0
6	2272	560	16	16	0
6	2224	608	16	16	0
6	2240	592	16	16	0
